날짜,목표금액,입금총액,현자산금액,이익률(%),달성률(%)
2026-03-02,120000000.0,36000000.0,36000000.0,0.0,30.0
2026-03-27,120000000.0,36000000.0,40000000.0,11.11,33.33
2026-04-23,120000000.0,36000000.0,43464259.0,20.73,36.22
2026-04-24,120000000.0,36000000.0,42497062.0,18.05,35.41
2026-04-25,120000000.0,36000000.0,43687665.0,21.35,36.41
